"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"Ambient",29.1158333333333,0.0500757276773434,15.0095833333333,0.201596822106835,7.89421691052685,0.012141326396045,21.6989343158797,0.735790926380583,561.143231878904,16.8807765053052,1821.47121547606,7.00158827537707,92.7194158135215,2.59781348375865,1935.88956560546,5.17332841910684,2051.09092066667,1.18601814928255,1.4528783636657,0.0412196973373661
"Low",28.29,NA,18.434,NA,7.25981786330109,NA,92.0825705073237,NA,2630.27102655528,NA,1946.63749014266,NA,25.4143367236726,NA,2064.13439737365,NA,2009.278562,NA,0.404167002002713,NA
