"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"Ambient",28.6704166666667,0.0302374609696932,16.325125,0.217767703921809,7.93073020595504,0.00410064803886845,18.8244674132773,0.293513274127011,505.672094496469,5.42507249627866,1781.3636886773,5.42702760549566,101.80863973665,1.37375236216149,1901.99679582723,4.39767686855761,2032.9758359696,2.35148382204857,1.60461574330919,0.0231204754131641
"Low",28.6860869565217,0.032672401538703,16.306347826087,0.210388832650251,7.27348781014259,0.00696887155558703,94.6503281392965,1.37985939506375,2548.05887930256,44.2088983025956,1972.79617904,2.53772496208291,24.8115922225161,0.305465764564622,2092.25809940181,3.12553136353022,2034.10824849893,2.43208177747772,0.39088754607283,0.00475018756066087
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
